Course,Unit
CPE 203,2
CHE 201,3
MSE 201,3
MEE 205,3
EEE 201,2
EEE 291,1
MTH 201,4
MEE 203,2
CSC 201,3
CPE 204,2
CSC 202,2
AGE 202,2
CVE 202,3
MEE 206,3
MEE 204,2
EEE 202,2
EEE 292,1
MTH 202,4
CPE 301,3
CPE 303,2
CPE 307,2
CPE 309,1
EEE 301,2
EEE 309,3
MEE 303,3
CHE 305,3
CSC 302,3
CSC 306,3
CSC 308,2
CPE 310,2
CPE 316,2
CPE 314,1
EEE 302,3
CHE 306,3
AGE 302,2
CPE 401,3
CPE 405,3
CSC 403,3
CSC 415,3
CPE 409,2
CVE 401,3
MTH 205,3
STT 201,3
CPE 206,2
MTH 306,3
STT 202,3
CPE301,3
CSC 307,2
CSC 305,3
CSC 311,2
CSC 315,2
CSC 317,2
MTH 301,2
CSC 304,2
CSC 312,2
MTH 302,3
MTH207,3
ECN 203,3
ECN 201,3
ECN 204,3
ECN 202,3
ECN 301,3
ECN 313,3
ECN 302,3
ECN 314,3
CSC 407,2
ECN 401,3
ECN 421,3
